Name,DNS Domain,Type,Status,IP Address,D Operating System,D Host Domain
fenapppold01,,Windows,Installed,156.45.66.217,Windows Server 2012 R2 Standard R2,us.maritz.net
fenapppolp01,,Windows,Installed,156.45.55.28,Windows Server 2012 R2 Standard R2,us.maritz.net
fenapppols01,,Windows,Installed,156.45.66.218,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappprn03,,Windows,In Use,156.45.55.97,Windows 2003,us.maritz.net
fenappsccmp01,,Windows,In Use,156.45.54.190,Windows 2008 R2,us.maritz.net
fenappsccmp02,,Windows,In Use,156.45.54.192,Windows 2008 R2,us.maritz.net
fenappsccmp03,,Windows,In Use,156.45.54.193,Windows 2008 R2,us.maritz.net
fenappsccmp04,,Windows,In Use,156.45.54.72,Windows 2008 R2,us.maritz.net
fenappsccmp05,,Windows,In Use,156.45.54.38,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappsccmp06,,Windows,In Use,156.45.54.61,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappsccmp07,,Windows,In Use,156.45.54.37,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappsccmp08,,Windows,Installed,156.45.54.34,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappscomp01,,Windows,In Use,172.19.1.30,,
fenappsecp03,,Windows,In Use,156.45.55.188,Windows 2003,us.maritz.net
fenappsecp08,,Windows,Decommissioned,156.45.54.21,Windows 2008 R2,us.maritz.net
fenappsecp09,,Windows,In Use,156.45.54.29,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappsepp01,,Windows,In Use,156.45.54.141,Windows 2003,us.maritz.net
fenappsim02,,Windows,In Use,156.45.55.61,Windows 2008 R2,us.maritz.net
fenappsim02-old,,Windows,De-Installed,156.45.55.70,Windows 2003,us.maritz.net
fenappsnsenvp01,,Windows,In Use,172.19.8.15,Windows 2008 R2,us.maritz.net
fenappsnsenvp02,,Windows,In Use,172.19.8.16,Windows 2008 R2,us.maritz.net
fenappsnsmgmp01,,Windows,In Use,172.19.8.17,Windows 2008 R2,us.maritz.net
fenappsnsmgmp02,,Windows,In Use,172.19.8.18,Windows 2008 R2,us.maritz.net
fenappssp1002v,,Windows,Build/Rebuild,10.99.13.106,Windows Server 2012 R2 Standard R2,mpn.local
fenappstg02,,Windows,In Use,156.45.54.91,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappsvnd01,,Windows,In Use,156.45.66.101,Windows 2008 R2,us.maritz.net
fenappsvnp02,,Windows,In Use,156.45.66.106,Windows 2008 R2,us.maritz.net
fenappsynp01,,Windows,In Use,156.45.54.132,Windows 2003,us.maritz.net
fenappsynp02,,Windows,Build/Rebuild,156.45.54.26,Windows Server 2012 R2 Standard R2,us.maritz.net
fenapptest01,,Windows,Installed,,,
